File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/errata/sifive/errata_cip_453.S,26,27,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/errata/sifive/errata_cip_453.S,28,29,!(CONFIG_MMU),CONFIG_MMU,CONFIG_MMU=y,False
linux-6.18-rc3/arch/riscv/errata/sifive/errata.c,47,48,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/kernel/hibernate.c,132,137,CONFIG_SMP,CONFIG_SMP,CONFIG_SMP=y,True
linux-6.18-rc3/arch/riscv/kernel/hibernate.c,404,413,CONFIG_PM_SLEEP_SMP,CONFIG_PM_SLEEP_SMP,CONFIG_PM_SLEEP_SMP=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,25,26,CONFIG_FPU,CONFIG_FPU,CONFIG_FPU=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,28,29,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,31,32,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,55,87,CONFIG_FPU,CONFIG_FPU,CONFIG_FPU=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,90,155,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,158,184,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,196,204,CONFIG_FPU,CONFIG_FPU,CONFIG_FPU=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,206,215,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,217,225,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM,CONFIG_RISCV_ISA_SUPM=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,353,421,CONFIG_COMPAT,CONFIG_COMPAT,CONFIG_COMPAT=y,True
linux-6.18-rc3/arch/riscv/kernel/ptrace.c,422,423,!(CONFIG_COMPAT),CONFIG_COMPAT,CONFIG_COMPAT=y,False
linux-6.18-rc3/arch/riscv/kernel/stacktrace.c,17,87,CONFIG_FRAME_POINTER,CONFIG_FRAME_POINTER,CONFIG_FRAME_POINTER=y,True
linux-6.18-rc3/arch/riscv/kernel/stacktrace.c,88,118,!(CONFIG_FRAME_POINTER),CONFIG_FRAME_POINTER,CONFIG_FRAME_POINTER=y,False
linux-6.18-rc3/arch/riscv/kernel/fpu.S,110,112,__riscv_xlen == 64,,,False
linux-6.18-rc3/arch/riscv/kernel/fpu.S,113,115,!(__riscv_xlen == 64),,,False
linux-6.18-rc3/arch/riscv/kernel/fpu.S,173,226,CONFIG_RISCV_SCALAR_MISALIGNED,CONFIG_RISCV_SCALAR_MISALIGNED,CONFIG_RISCV_SCALAR_MISALIGNED=unset,False
linux-6.18-rc3/arch/riscv/kernel/suspend.c,32,40,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/kernel/suspend.c,52,60,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/kernel/suspend.c,110,196,CONFIG_RISCV_SBI,CONFIG_RISCV_SBI,CONFIG_RISCV_SBI=y,True
linux-6.18-rc3/arch/riscv/kernel/asm-offsets.c,44,45,CONFIG_SHADOW_CALL_STACK,CONFIG_SHADOW_CALL_STACK,CONFIG_SHADOW_CALL_STACK=unset,False
linux-6.18-rc3/arch/riscv/kernel/asm-offsets.c,47,50,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kernel/asm-offsets.c,87,88,CONFIG_STACKPROTECTOR,CONFIG_STACKPROTECTOR,CONFIG_STACKPROTECTOR=y,True
linux-6.18-rc3/arch/riscv/kernel/asm-offsets.c,502,506,CONFIG_FUNCTION_TRACER,CONFIG_FUNCTION_TRACER,CONFIG_FUNCTION_TRACER=y,True
linux-6.18-rc3/arch/riscv/kernel/asm-offsets.c,509,530,CONFIG_DYNAMIC_FTRACE_WITH_ARGS,CONFIG_DYNAMIC_FTRACE_WITH_ARGS,CONFIG_DYNAMIC_FTRACE_WITH_ARGS=y,True
linux-6.18-rc3/arch/riscv/kernel/irq.c,69,130,CONFIG_IRQ_STACKS,CONFIG_IRQ_STACKS,CONFIG_IRQ_STACKS=y,True
linux-6.18-rc3/arch/riscv/kernel/irq.c,131,133,!(CONFIG_IRQ_STACKS),CONFIG_IRQ_STACKS,CONFIG_IRQ_STACKS=y,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,14,15,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,16,17,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,29,30,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,31,32,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,37,38,__clang__,,,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,39,40,!(__clang__),,,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,45,46,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,99,100,__clang__,,,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,101,102,!(__clang__),,,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,105,106,__clang__,,,False
linux-6.18-rc3/arch/riscv/kernel/efi-header.S,107,108,!(__clang__),,,False
linux-6.18-rc3/arch/riscv/kernel/unaligned_access_speed.c,32,174,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS=unset,False
linux-6.18-rc3/arch/riscv/kernel/unaligned_access_speed.c,175,178,!(CONFIG_RISCV_PROBE_UNALIGNED_ACCESS),CONFIG_RISCV_PROBE_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS=unset,True
linux-6.18-rc3/arch/riscv/kernel/unaligned_access_speed.c,252,264,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_UNALIGNED_ACCESS=unset,False
linux-6.18-rc3/arch/riscv/kernel/unaligned_access_speed.c,280,385,CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS=y,True
linux-6.18-rc3/arch/riscv/kernel/unaligned_access_speed.c,386,390,!(CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS),CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS,CONFIG_RISCV_PROBE_VECTOR_UNALIGNED_ACCESS=y,False
